q35,q63114,d_age
Love,My sex drive is higher than average.,25
NA,NA,20
Love,NA,22
NA,NA,29
Love,NA,30
Sex,My sex drive is higher than average.,33
Love,My sex drive is about average.,21
Sex,NA,21
NA,NA,24
NA,NA,31
Love,My sex drive is about average.,25
NA,NA,31
Love,My sex drive is below average.,28
Love,NA,24
Love,My sex drive is about average.,23
Love,My sex drive is about average.,21
NA,NA,NA
NA,NA,20
Love,My sex drive is about average.,35
NA,NA,25
NA,NA,31
Love,NA,26
Sex,My sex drive is about average.,26
NA,NA,20
NA,NA,23
Love,My sex drive is higher than average.,30
NA,NA,25
Love,NA,19
NA,NA,26
Love,My sex drive is below average.,23
Love,My sex drive is higher than average.,26
NA,NA,23
Love,My sex drive is higher than average.,36
Love,My sex drive is about average.,NA
NA,NA,26
Love,My sex drive is higher than average.,30
Love,NA,24
Love,My sex drive is about average.,27
NA,My sex drive is about average.,26
Love,My sex drive is higher than average.,24
Love,My sex drive is about average.,NA
Sex,NA,23
Love,My sex drive is higher than average.,37
NA,NA,24
Sex,My sex drive is higher than average.,28
NA,NA,20
Love,NA,18
Sex,NA,24
Love,NA,23
NA,I'm insatiable.,20
Love,My sex drive is about average.,32
Love,NA,22
Sex,NA,23
Love,NA,21
Love,NA,28
Love,NA,23
NA,NA,25
NA,NA,34
Love,My sex drive is about average.,33
NA,NA,18
Love,NA,26
Love,NA,20
NA,NA,30
Love,NA,33
NA,My sex drive is about average.,25
Love,NA,26
Love,NA,27
NA,NA,25
Love,NA,26
Sex,NA,24
NA,NA,26
NA,NA,24
Sex,My sex drive is about average.,23
Love,NA,20
Love,My sex drive is below average.,23
NA,NA,20
NA,My sex drive is higher than average.,27
Love,NA,29
NA,NA,25
Love,NA,26
NA,My sex drive is about average.,28
Love,My sex drive is about average.,NA
Love,My sex drive is about average.,NA
Love,NA,32
Love,My sex drive is about average.,27
NA,My sex drive is about average.,27
Sex,NA,23
Love,NA,28
Love,My sex drive is about average.,45
Love,NA,29
Love,NA,23
Love,NA,25
Love,My sex drive is about average.,46
Love,My sex drive is about average.,32
Love,NA,25
Love,NA,25
Love,My sex drive is higher than average.,35
Sex,I'm insatiable.,28
Sex,NA,21
Love,My sex drive is higher than average.,19
NA,NA,24
